Story,OutputCase,CaseType,StepType,StepNumber,Location,P,VX,VY,T,MX,MY
Story18,Ex,LinStatic,Step By Step,1,Top,0,-102.4517,-0.0389,1636.5689,0,0
Story18,Ex,LinStatic,Step By Step,1,Bottom,0,-102.4517,-0.0389,1636.5689,0.1167,-307.3551
Story18,Ex,LinStatic,Step By Step,2,Top,0,-102.449,0.0243,1730.7393,0,0
Story18,Ex,LinStatic,Step By Step,2,Bottom,0,-102.449,0.0243,1730.7393,-0.0729,-307.3469
Story18,Ex,LinStatic,Step By Step,3,Top,0,-102.4544,-0.1021,1542.3985,0,0
Story18,Ex,LinStatic,Step By Step,3,Bottom,0,-102.4544,-0.1021,1542.3985,0.3062,-307.3633
Story18,Ey,LinStatic,Step By Step,1,Top,0,-0.0373,-103.5617,-3346.854,0,0
Story18,Ey,LinStatic,Step By Step,1,Bottom,0,-0.0373,-103.5617,-3346.854,310.685,-0.112
Story18,Ey,LinStatic,Step By Step,2,Top,0,-0.0401,-103.6248,-3441.0244,0,0
Story18,Ey,LinStatic,Step By Step,2,Bottom,0,-0.0401,-103.6248,-3441.0244,310.8745,-0.1202
Story18,Ey,LinStatic,Step By Step,3,Top,0,-0.0346,-103.4985,-3252.6836,0,0
Story18,Ey,LinStatic,Step By Step,3,Bottom,0,-0.0346,-103.4985,-3252.6836,310.4954,-0.1038
Story18,Qx,LinRespSpec,Max,,Top,0,164.1776,13.658,3212.588,0,0
Story18,Qx,LinRespSpec,Max,,Bottom,0,164.1776,13.658,3212.588,40.974,492.5327
Story18,Qy,LinRespSpec,Max,,Top,0,10.1063,117.7173,2821.1706,0,0
Story18,Qy,LinRespSpec,Max,,Bottom,0,10.1063,117.7173,2821.1706,353.1519,30.3188
Story18,Qx-Servicio (R=6),LinRespSpec,Max,,Top,0,98.8359,8.2222,1933.9971,0,0
Story18,Qx-Servicio (R=6),LinRespSpec,Max,,Bottom,0,98.8359,8.2222,1933.9971,24.6666,296.5076
Story18,Qy-Servicio (R=6),LinRespSpec,Max,,Top,0,5.7371,66.8258,1601.5242,0,0
Story18,Qy-Servicio (R=6),LinRespSpec,Max,,Bottom,0,5.7371,66.8258,1601.5242,200.4775,17.2114
Story18,EU-F,Combination,Max,,Top,1378.2016,250.8126,182.7191,6088.3494,22051.2258,-24445.2981
Story18,EU-F,Combination,Max,,Bottom,1533.6434,250.8126,182.7191,6088.3494,24538.3142,-26481.0065
Story18,EU-F,Combination,Min,,Top,763.9175,-250.8168,-182.7271,-6088.5117,12222.6794,-44102.3419
Story18,EU-F,Combination,Min,,Bottom,850.0766,-250.8168,-182.7271,-6088.5117,13053.0709,-49132.511
Story18,ES-F,Combination,Max,,Top,1070.0751,175.6194,127.9718,4275.9528,17121.2017,-16160.3581
Story18,ES-F,Combination,Max,,Bottom,1190.7646,175.6194,127.9718,4275.9528,19436.1694,-17476.6945
Story18,ES-F,Combination,Min,,Top,505.0124,-175.6226,-127.9779,-4276.0752,8080.1992,-34242.3183
Story18,ES-F,Combination,Min,,Bottom,561.9708,-175.6226,-127.9779,-4276.0752,8607.6183,-38674.7466
